rcrd_date,car_no,rcrd_time,lo_lgt,lo_ltt,lo_drc,r_num
2020-12-07,闽F02199D,2020-12-07 07:38:27:164,117.022777,25.063793,181.550003,1
2020-12-07,闽F02199D,2020-12-07 07:38:29:031,117.02276699999999,25.063645,179.690002,1
2020-12-07,闽F02199D,2020-12-07 07:38:31:138,117.02276200000001,25.06354,182.119995,1
2020-12-07,闽F02199D,2020-12-07 07:38:33:028,117.022755,25.063418,181.75,1
2020-12-07,闽F02199D,2020-12-07 07:38:35:157,117.02275,25.063277,184.720001,1
2020-12-07,闽F02199D,2020-12-07 07:38:37:053,117.02273999999998,25.06312,183.080002,1
2020-12-07,闽F02199D,2020-12-07 07:38:39:127,117.02273799999999,25.062952,183.440002,1
2020-12-07,闽F02199D,2020-12-07 07:38:40:188,117.022747,25.062858,180.800003,1
2020-12-07,闽F02199D,2020-12-07 07:38:41:023,117.022747,25.062768,181.130005,1
2020-12-07,闽F02199D,2020-12-07 07:38:42:080,117.022745,25.062676999999997,179.919998,1
2020-12-07,闽F02199D,2020-12-07 07:38:43:148,117.022742,25.062587,180.669998,1
2020-12-07,闽F02199D,2020-12-07 07:38:45:027,117.022732,25.06241,179.71000700000002,1
2020-12-07,闽F02199D,2020-12-07 07:38:47:103,117.022725,25.0622,180.03999299999998,1
2020-12-07,闽F02199D,2020-12-07 07:38:48:182,117.022737,25.062098000000002,182.380005,1
2020-12-07,闽F02199D,2020-12-07 07:38:49:051,117.02273799999999,25.061989999999998,178.41000400000001,1
2020-12-07,闽F02199D,2020-12-07 07:38:50:088,117.02273999999998,25.06189,178.649994,1
2020-12-07,闽F02199D,2020-12-07 07:38:51:130,117.022737,25.061795,179.300003,1
2020-12-07,闽F02199D,2020-12-07 07:38:52:180,117.022733,25.061705,178.619995,1
2020-12-07,闽F02199D,2020-12-07 07:38:54:110,117.02270700000001,25.06154,177.5,1
2020-12-07,闽F02199D,2020-12-07 07:38:56:000,117.022722,25.061378,176.929993,1
2020-12-07,闽F02199D,2020-12-07 07:38:58:071,117.02273999999998,25.06123,175.729996,1
2020-12-07,闽F02199D,2020-12-07 07:39:00:159,117.02276299999998,25.061087,176.75,1
2020-12-07,闽F02199D,2020-12-07 07:39:02:050,117.022752,25.060958,173.740005,1
2020-12-07,闽F02199D,2020-12-07 07:39:03:105,117.022778,25.06087,175.03999299999998,1
2020-12-07,闽F02199D,2020-12-07 07:39:05:199,117.022797,25.060715,173.320007,1
2020-12-07,闽F02199D,2020-12-07 07:39:07:109,117.022823,25.060538,173.029999,1
2020-12-07,闽F02199D,2020-12-07 07:39:09:193,117.02283200000001,25.060363,176.0,1
2020-12-07,闽F02199D,2020-12-07 07:39:10:026,117.02283999999999,25.060270000000003,175.369995,1
2020-12-07,闽F02199D,2020-12-07 07:39:11:069,117.02283500000001,25.060168,174.58999599999999,1
2020-12-07,闽F02199D,2020-12-07 07:39:13:163,117.02284499999999,25.05999,175.470001,1
2020-12-07,闽F02199D,2020-12-07 07:39:14:205,117.022828,25.059895,177.259995,1
2020-12-07,闽F02199D,2020-12-07 07:39:15:058,117.022833,25.059798,177.600006,1
